timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1604170822474,200,get login page,200,OK,Thread Group 1-1,text,true,,112077,2349,1,1,http://localhost/blog/Account/login.aspx,32,0,23
1604170822474,35,get login page-0,200,OK,Thread Group 1-1,text,true,,4750,386,1,1,http://localhost/blog/Account/login.aspx,32,0,23
1604170822552,122,get login page-1,200,OK,Thread Group 1-1,text,true,,5167,399,1,1,"http://fonts.googleapis.com/css?family=Roboto:400,500",121,0,35
1604170822552,1,get login page-2,200,OK,Thread Group 1-1,text,true,,5899,387,1,1,http://localhost/blog/Account/account.css,1,0,0
1604170822552,2,get login page-3,200,OK,Thread Group 1-1,text,true,,84686,395,1,1,http://localhost/blog/Scripts/jquery-2.1.4.min.js,2,0,1
1604170822552,2,get login page-4,200,OK,Thread Group 1-1,text,true,,4089,386,1,1,http://localhost/blog/Account/account.js,2,0,1
1604170822552,2,get login page-5,200,OK,Thread Group 1-1,bin,true,,7486,396,1,1,http://localhost/blog/Content/images/blog/logo.png,2,0,1
1604170823116,723,login procedure,200,OK,Thread Group 1-1,text,true,,348389,26390,1,1,http://localhost/blog/,8,0,0
1604170823116,8,login procedure-0,302,Found,Thread Group 1-1,text,true,,1164,1093,1,1,http://localhost/blog/Account/login.aspx,8,0,0
1604170823126,11,login procedure-1,200,OK,Thread Group 1-1,text,true,,35831,1217,1,1,http://localhost/blog/,11,0,0
1604170823175,1,login procedure-2,200,OK,Thread Group 1-1,text,true,,5349,1240,1,1,http://localhost/blog/Content/Auto/Global.css,1,0,0
1604170823175,664,login procedure-3,200,OK,Thread Group 1-1,text,true,,10090,482,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",663,0,577
1604170823175,1,login procedure-4,200,OK,Thread Group 1-1,text,true,,25636,1254,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,1,0,0
1604170823176,4,login procedure-5,200,OK,Thread Group 1-1,bin,true,,3929,1251,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,4,0,0
1604170823175,2,login procedure-6,200,OK,Thread Group 1-1,text,true,,6323,1260,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,2,0,0
1604170823176,10,login procedure-7,200,OK,Thread Group 1-1,text,true,,2887,1268,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,10,0,0
1604170823181,12,login procedure-8,200,OK,Thread Group 1-1,text,true,,1421,1230,1,1,http://localhost/blog/en-us.res.axd,12,0,0
1604170823189,5,login procedure-9,200,OK,Thread Group 1-1,text,true,,92937,1252,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,5,0,0
1604170823190,1,login procedure-10,200,OK,Thread Group 1-1,text,true,,2532,1249,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,1,0,0
1604170823193,2,login procedure-11,200,OK,Thread Group 1-1,text,true,,10009,1253,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,2,0,0
1604170823193,1,login procedure-12,200,OK,Thread Group 1-1,text,true,,3068,1245,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,1,0,0
1604170823194,2,login procedure-13,200,OK,Thread Group 1-1,text,true,,24753,1237,1,1,http://localhost/blog/Scripts/Auto/blog.js,1,0,0
1604170823195,0,login procedure-14,200,OK,Thread Group 1-1,text,true,,15351,1238,1,1,http://localhost/blog/Scripts/App/widget.js,0,0,0
1604170823195,0,login procedure-15,200,OK,Thread Group 1-1,text,true,,30406,1261,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,0,0,0
1604170823196,1,login procedure-16,200,OK,Thread Group 1-1,text,true,,44438,1260,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,0,0,0
1604170823196,1,login procedure-17,200,OK,Thread Group 1-1,text,true,,2730,1266,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,0,0,0
1604170823196,1,login procedure-18,200,OK,Thread Group 1-1,text,true,,2141,1257,1,1,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,1,0,0
1604170823197,3,login procedure-19,200,OK,Thread Group 1-1,text,true,,23342,1327,1,1,http://localhost/blog/WebResource.axd?d=pynGkmcFUV13He1Qd6_TZKFmBG-AUY7YwSX-Eh_-So8UKa0fIVRDpGlQdJn4r3q4SNLVEw2&t=637322025772739184,2,0,0
1604170823197,1,login procedure-20,200,OK,Thread Group 1-1,bin,true,,839,1250,1,1,http://localhost/blog/Content/images/blog/rssButton.png,1,0,0
1604170823197,131,login procedure-21,200,OK,Thread Group 1-1,bin,true,,1475,500,1,1,http://www.gravatar.com/avatar/6d639091c771c54398e476fbbabb2ce4.jpg?d=identicon,131,0,67
1604170823198,130,login procedure-22,200,OK,Thread Group 1-1,bin,true,,1738,500,1,1,http://www.gravatar.com/avatar/2fa808609fde06076e7121ee7861fbf6.jpg?d=identicon,130,0,66
1604170824131,360,profile,200,OK,Thread Group 1-1,text,true,,726592,9926,1,1,http://localhost/blog/admin/#/security/profile,2,0,0
1604170824131,2,profile-0,200,OK,Thread Group 1-1,text,true,,6604,1148,1,1,http://localhost/blog/admin/#/security/profile,2,0,0
1604170824137,354,profile-1,200,OK,Thread Group 1-1,text,true,,7496,403,1,1,"http://fonts.googleapis.com/css?family=Roboto:300,400,500",354,0,0
1604170824137,3,profile-2,200,OK,Thread Group 1-1,text,true,,154662,1205,1,1,http://localhost/blog/Content/admincss?v=DLFtuUEdbdFJ3l3-BI2Ol0kPGJClzu9gDf3nqkFRVj41,2,0,0
1604170824137,2,profile-3,200,OK,Thread Group 1-1,text,true,,121984,1184,1,1,http://localhost/blog/admin/themes/standard/css/styles.css?ver=4,1,0,0
1604170824137,0,profile-4,304,Not Modified,Thread Group 1-1,,true,,132,1261,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604170824137,2,profile-5,200,OK,Thread Group 1-1,text,true,,45409,1161,1,1,http://localhost/blog/admin/admin.res.axd,2,0,0
1604170824137,1,profile-6,200,OK,Thread Group 1-1,bin,true,,6254,1174,1,1,http://localhost/blog/Content/images/blog/noavatar.jpg,1,0,0
1604170824138,0,profile-7,200,OK,Thread Group 1-1,bin,true,,4739,1184,1,1,http://localhost/blog/admin/themes/standard/img/logo-sidebar.png,0,0,0
1604170824138,3,profile-8,200,OK,Thread Group 1-1,text,true,,379312,1206,1,1,http://localhost/blog/scripts/blogadmin?v=xP4AFL0KHPnGbgjDcx0BR_kpa2YFKCUXzLcC4C2awJk1,2,0,0
1604170824498,2,profile view,200,OK,Thread Group 1-1,text,true,,5340,1053,1,1,http://localhost/blog/admin/app/security/profile/profileView.html,2,0,0
1604170824504,3,editor,200,OK,Thread Group 1-1,text,true,,678,1081,1,1,http://localhost/blog/api/users/editor,3,0,0
1604170824511,3,profile,200,OK,Thread Group 1-1,text,true,,231,1120,1,1,http://localhost/blog/api/customfields?filter=CustomType+%3D%3D+%22PROFILE%22,3,0,0
1604170824516,1,view post,200,OK,Thread Group 1-1,text,true,,6084,1047,1,1,http://localhost/blog/admin/app/content/posts/postView.html,1,0,0
1604170824520,45,get post,200,OK,Thread Group 1-1,text,true,,257239,1088,1,1,http://localhost/blog/api/posts?take=0&skip=0,45,0,0
1604170824623,98,edit post,200,OK,Thread Group 1-1,text,true,,775604,12667,1,1,http://localhost/blog/admin/app/editor/editpost.cshtml,2,0,0
1604170824623,2,edit post-0,200,OK,Thread Group 1-1,text,true,,20551,1174,1,1,http://localhost/blog/admin/app/editor/editpost.cshtml,2,0,0
1604170824628,93,edit post-1,200,OK,Thread Group 1-1,text,true,,7496,453,1,1,"http://fonts.googleapis.com/css?family=Roboto:300,400,500",92,0,0
1604170824628,2,edit post-2,304,Not Modified,Thread Group 1-1,,true,,160,1255,1,1,http://localhost/blog/Content/admincss?v=DLFtuUEdbdFJ3l3-BI2Ol0kPGJClzu9gDf3nqkFRVj41,0,0,0
1604170824628,1,edit post-3,304,Not Modified,Thread Group 1-1,,true,,205,1269,1,1,http://localhost/blog/admin/themes/standard/css/styles.css?ver=4,0,0,0
1604170824628,1,edit post-4,304,Not Modified,Thread Group 1-1,,true,,132,1261,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,0,0,0
1604170824628,3,edit post-5,200,OK,Thread Group 1-1,text,true,,45409,1172,1,1,http://localhost/blog/admin/app/editor/admin.res.axd,3,0,1
1604170824628,1,edit post-6,304,Not Modified,Thread Group 1-1,,true,,132,1259,1,1,http://localhost/blog/Content/images/blog/noavatar.jpg,0,0,0
1604170824629,1,edit post-7,304,Not Modified,Thread Group 1-1,,true,,132,1269,1,1,http://localhost/blog/admin/themes/standard/img/logo-sidebar.png,0,0,0
